Deliverable,Sequence,Component,Type,Weight
Readiness Assessment Tests (Ind),1,Biz Plan and Entrepreneurship,Individual,15%
Readiness Assessment Tests (Team),2,Biz Plan and Entrepreneurship,Team,5%
Primary Research Plan,3,Market Research,Team,5%
Mid-term examination 1,4,Biz Plan and Entrepreneurship,Individual,10%
Mid-term examination 2,5,Biz Plan and Entrepreneurship,Individual,10%
Final Biz Plan examination,6,Biz Plan and Entrepreneurship,Individual,10%
Questions on Team Presentations,7,Biz Plan and Entrepreneurship,Individual,5%
Need & Solution Slides & Presentation 1 (Ind),8,Investor Presentations,Individual,10%
Pitch,9,Investor Presentations,Team,5%
Final Slides & Presentation (Ind),10,Investor Presentations,Individual,10%
Biz Plan Report (Ind),11,Investor Presentations,Individual,10%
Biz Plan Report (Team),12,Investor Presentations,Team,5%
